price,duration,bids,cond_new,stock_photo,wheels
51.55,3,20,1,1,1
37.04,7,13,0,1,1
45.5,3,16,1,0,1
44,3,18,1,1,1
71,1,20,1,1,2
45,3,19,1,1,0
37.02,1,13,0,1,0
53.99,1,15,1,1,2
47,3,29,0,1,1
50,7,8,0,0,1
54.99,1,15,1,1,2
56.01,1,15,1,1,2
48,1,13,1,1,2
56,1,16,1,1,2
43.33,7,6,0,1,1
46,7,22,0,1,0
46.71,3,14,1,1,1
46,3,23,1,1,1
55.99,1,10,1,1,2
31,1,7,0,1,0
53.98,1,16,1,1,2
64.95,1,1,1,1,2
50.5,1,18,1,1,2
46.5,3,12,0,1,1
55,1,19,1,1,2
34.5,3,5,0,1,0
36,3,5,0,1,0
40,1,13,0,0,0
47,7,15,1,1,1
43,1,11,0,1,0
31,7,14,0,1,0
41.99,5,13,0,1,1
49.49,5,24,0,1,2
41,3,10,0,1,1
44.78,3,15,0,1,1
47,3,16,0,0,0
44,7,17,0,0,1
63.99,1,9,1,1,2
53.76,1,14,1,1,2
46.03,7,5,1,0,1
42.25,3,13,0,0,1
46,1,14,0,0,2
51.99,1,29,1,1,2
55.99,1,17,1,1,2
41.99,3,8,0,1,1
53.99,1,12,1,1,2
39,7,20,0,1,0
38.06,7,21,0,1,0
46,7,16,0,0,1
59.88,1,10,1,1,2
28.98,1,17,0,1,0
36,3,16,0,0,1
51.99,3,2,1,1,0
43.95,7,16,0,1,0
32,1,14,0,1,0
40.06,7,10,0,0,1
48,5,7,0,0,1
36,7,16,0,0,0
31,10,3,0,0,0
53.99,1,23,1,1,2
30,1,12,0,1,0
58,1,9,1,1,2
38.1,5,18,0,0,0
61.76,7,12,0,1,2
53.99,1,13,1,1,2
40,7,14,0,1,1
64.5,7,12,0,0,3
49.01,7,16,0,0,2
47,3,9,1,1,1
40.1,3,17,0,0,1
41.5,7,16,1,0,1
56,1,20,1,1,2
64.95,1,1,1,1,2
49,1,13,0,0,2
48,3,4,0,1,1
38,5,21,0,0,0
45,3,14,0,1,0
41.95,5,18,0,1,0
43.36,10,15,0,1,1
54.99,1,8,1,1,2
45.21,3,19,0,1,1
65.02,7,2,0,0,4
45.75,7,14,0,1,1
64,3,14,1,1,2
36,7,7,0,1,0
54.7,7,7,1,1,1
49.91,5,5,1,1,1
47,3,16,0,1,0
43,7,13,0,0,1
35.99,5,10,0,1,0
54.49,1,11,0,1,2
46,7,15,0,1,1
31.06,1,16,0,1,0
55.6,3,15,0,1,2
40.1,3,23,1,1,0
52.59,1,20,1,1,2
44,7,9,0,0,2
38.26,5,14,0,0,1
51,5,11,0,0,2
48.99,1,13,1,1,2
66.44,1,1,1,1,2
63.5,1,22,1,1,2
42,5,7,0,0,0
47,7,18,1,1,1
55,5,17,0,0,2
33.01,7,9,0,1,1
53.76,1,16,1,1,2
46,5,20,1,1,1
43,3,16,0,1,0
42.55,3,5,0,1,1
52.5,7,5,0,1,2
57.5,1,25,1,1,2
75,1,3,1,1,3
48.92,7,7,0,1,1
45.99,7,18,1,1,1
40.05,7,10,0,1,1
45,1,13,1,1,1
50,3,8,0,1,2
49.75,7,16,1,1,0
47,7,3,0,0,1
56,1,17,1,1,2
41,1,11,0,0,1
46,3,9,1,0,1
34.99,7,10,0,1,1
49,1,23,0,1,2
61,1,19,1,1,2
62.89,1,14,1,1,2
46,3,11,1,1,1
64.95,1,1,1,1,2
36.99,7,14,0,0,0
44,7,14,0,1,1
41.35,5,17,0,1,1
37,7,11,0,0,0
58.98,1,18,1,1,2
39,5,20,0,1,0
40.7,7,6,0,0,1
39.51,1,20,0,1,0
52,7,9,0,0,2
47.7,3,14,1,1,1
38.76,7,13,0,0,0
54.51,1,13,1,1,2
